Category	Data
Time 	238
Number of contact points 	8
Number of motion primitives performed 	48
Estimated corners 	[[np.float64(0.5480585717083397), np.float64(0.4070072238395419), np.float64(-0.08790729280077429)], [np.float64(0.27477396543830807), np.float64(0.2366177246179516), np.float64(-0.11912334507374037)], [np.float64(0.9011822901607368), np.float64(-0.04648815405757131), np.float64(-0.09623883467217487)], [np.float64(0.5893823905420837), np.float64(-0.267825869608997), np.float64(-0.1338001271080614)]]
Estimated pose 	[[np.float64(0.5783493044623671), np.float64(0.0823277311977313), np.float64(-0.10926739991368774)], [np.float64(0.025089266023478433), np.float64(-0.043049251489990614), np.float64(0.2753881100623095), np.float64(0.9600409780383669)]]
Ground truth pose 	[[0.5972921481026476, 0.09092064982380782, -0.09455514897301326], [0.017144048174347653, -0.077909411242721, 0.29926301189346416, 0.9508300873260483]]
Ground truth corners 	[[np.float64(0.631336120221897), np.float64(-0.25146027060204407), np.float64(-0.11727767723661689)], [np.float64(0.9063089261014372), np.float64(-0.058875707339917815), np.float64(-0.06341542682068213)], [np.float64(0.5632481759833983), np.float64(0.4333015702496597), np.float64(-0.07183262070940963)], [np.float64(0.2882753701038581), np.float64(0.24071700698753346), np.float64(-0.1256948711253444)]]
Translational error 	0.0254778316078089
Rotational error 	0.087943622655276
Chamfer distance 	0.0333369209573667
Hausdorff distance 	0.0479681103928185
