Category	Data
Time 	216
Number of contact points 	5
Number of motion primitives performed 	30
Estimated corners 	[[np.float64(0.7005225531600344), np.float64(0.3616074091857362), np.float64(-0.09510942795314135)], [np.float64(0.35946032443911774), np.float64(0.31478531118705483), np.float64(-0.08865169916803267)], [np.float64(0.7876022286125645), np.float64(-0.2772304783286097), np.float64(-0.12796029478149568)], [np.float64(0.44249343266693153), np.float64(-0.29436596525428826), np.float64(-0.11997599575688712)]]
Estimated pose 	[[np.float64(0.572519634719662), np.float64(0.026199069197473238), np.float64(-0.1079243544148892)], [np.float64(0.02475623169587717), np.float64(0.01108806593720324), np.float64(0.06789902632224411), np.float64(0.9973233708333942)]]
Ground truth pose 	[[0.580670817475949, 0.03610369919089082, -0.1126362956497351], [0.020615468999962784, -0.03184690809449098, 0.04751197813567261, 0.9981499831269687]]
Ground truth corners 	[[np.float64(0.44063153757988405), np.float64(-0.2781878334495178), np.float64(-0.13521576855621636)], [np.float64(0.7784068403172345), np.float64(-0.24638590541455677), np.float64(-0.11293388726332564)], [np.float64(0.7207100973720139), np.float64(0.3503952318312995), np.float64(-0.09005682274325381)], [np.float64(0.3829347946346634), np.float64(0.31859330379633843), np.float64(-0.11233870403614456)]]
Translational error 	0.0136654991066385
Rotational error 	0.0954422354344356
Chamfer distance 	0.0287570593388671
Hausdorff distance 	0.0355209201324281
