Category	Data
Time 	114
Number of contact points 	3
Number of motion primitives performed 	18
Estimated corners 	[[np.float64(0.7670034492384503), np.float64(0.19456099752065695), np.float64(-0.10798315164893182)], [np.float64(0.16965065554125908), np.float64(0.14814066982245974), np.float64(-0.07612733524826698)], [np.float64(0.19474063093787758), np.float64(-0.19018333037765514), np.float64(-0.09865207771493563)], [np.float64(0.7920934246350688), np.float64(-0.14376300267945782), np.float64(-0.13050789411560046)]]
Estimated pose 	[[np.float64(0.4808720400881639), np.float64(0.00218883357150091), np.float64(-0.10331761468193372)], [np.float64(0.032124111393402634), np.float64(0.027807520513164152), np.float64(0.03785164534403498), np.float64(0.9983797054301755)]]
Ground truth pose 	[[0.5024740462960944, 0.007235872696185058, -0.12168455149241603], [0.010750646675555663, -0.05862463086326286, 0.07105861563683022, 0.9956898359408821]]
Ground truth corners 	[[np.float64(0.23183583278923625), np.float64(-0.20308131338699426), np.float64(-0.1593891749207124)], [np.float64(0.8216524237491444), np.float64(-0.11893480700372319), np.float64(-0.08842612473314922)], [np.float64(0.7731122598029525), np.float64(0.21755305877936437), np.float64(-0.08397992806411966)], [np.float64(0.18329566884304438), np.float64(0.1334065523960933), np.float64(-0.15494297825168285)]]
Translational error 	0.0288004104820367
Rotational error 	0.190200886521688
Chamfer distance 	0.0611407331193291
Hausdorff distance 	0.081333794860327
