Category	Data											
Time 	243											
Number of contact points 	8											
Number of motion primitives performed 	45											
Estimated corners 	[[np.float64(0.7897067953944253)	 np.float64(0.24313767781240847)	 np.float64(-0.08101411130409736)]	 [np.float64(0.45256625558820696)	 np.float64(0.2724325394550666)	 np.float64(-0.10453565121971742)]	 [np.float64(0.7288804872081717)	 np.float64(-0.35085858572784323)	 np.float64(-0.12343862865964082)]	 [np.float64(0.3366155224285726)	 np.float64(-0.30774016916899605)	 np.float64(-0.15023053205704606)]]
Estimated pose 	[[np.float64(0.5769422651548441)	 np.float64(-0.03575713440734106)	 np.float64(-0.11480473081012542)]	 [np.float64(0.03178474694818563)	 np.float64(-0.03747742105642671)	 np.float64(-0.0011926520885729784)	 np.float64(0.9987911445109007)]]					
Ground truth pose 	[[0.5926921117459177	 -0.05731622791633023	 -0.12570772701795013]	 [0.007775408872422168	 -0.055129136344543084	 -0.030077957041678188	 0.9979958105337767]]					
Ground truth corners 	[[np.float64(0.406279625380354)	 np.float64(-0.3463853925509931)	 np.float64(-0.14998535013939052)]	 [np.float64(0.7435977698621046)	 np.float64(-0.3670888947021461)	 np.float64(-0.11273170062600632)]	 [np.float64(0.7791045981114815)	 np.float64(0.23175293671833264)	 np.float64(-0.10143010389650976)]	 [np.float64(0.4417864536297309)	 np.float64(0.25245643886948566)	 np.float64(-0.13868375340989395)]]
Translational error 	0.0288396863172874											
Rotational error 	0.0830246282464725											
Chamfer distance 	0.0426807703623644											
Hausdorff distance 	0.0796655549437371											
