Category	Data
Time 	285
Number of contact points 	8
Number of motion primitives performed 	47
Estimated corners 	[[np.float64(0.7978060419790561), np.float64(0.18421458394228785), np.float64(0.14741392169242024)], [np.float64(0.48351375500978255), np.float64(0.20180895874649207), np.float64(0.10756168208091899)], [np.float64(0.7905913576452508), np.float64(-0.7091478756453335), np.float64(0.1699724802478469)], [np.float64(0.42321821360787026), np.float64(-0.7875255713726461), np.float64(0.12598819082117738)]]
Estimated pose 	[[np.float64(0.62378234206049), np.float64(-0.2776624760823), np.float64(0.13773406871059088)], [np.float64(-0.011267779076639289), np.float64(-0.06263087878544216), np.float64(-0.028500479201230708), np.float64(0.997566104507638)]]
Ground truth pose 	[[0.6558655040281738, -0.2826763118639386, 0.12813658581511478], [0.0015720087241217812, -0.026258307647540002, 0.000275612003576052, 0.9996539171663775]]
Ground truth corners 	[[np.float64(0.5013897311892871), np.float64(-0.7727464295163915), np.float64(0.11846625025011595)], [np.float64(0.8109621948861436), np.float64(-0.7726012017516115), np.float64(0.13474103533486426)], [np.float64(0.8103412768670605), np.float64(0.20739380578851424), np.float64(0.1378069213801136)], [np.float64(0.5007688131702039), np.float64(0.20724857802373425), np.float64(0.12153213629536529)]]
Translational error 	0.0338611799708579
Rotational error 	0.0963471896042149
Chamfer distance 	0.0515500770153184
Hausdorff distance 	0.0799111305447723
