Category	Data											
Time 	265											
Number of contact points 	8											
Number of motion primitives performed 	47											
Estimated corners 	[[np.float64(0.7648485192482082)	 np.float64(0.2475324270631634)	 np.float64(-0.07959557122160872)]	 [np.float64(0.4508999383454051)	 np.float64(0.2731416871032054)	 np.float64(-0.10559951427157617)]	 [np.float64(0.7438765469475915)	 np.float64(-0.3481970149343988)	 np.float64(-0.12145466255668622)]	 [np.float64(0.34954022235652293)	 np.float64(-0.3034519287414774)	 np.float64(-0.15327228851680788)]]
Estimated pose 	[[np.float64(0.577291306724432)	 np.float64(-0.03274370737737686)	 np.float64(-0.11498050914166974)]	 [np.float64(0.03348928676866698)	 np.float64(-0.043901838105861124)	 np.float64(-0.0014724892974408302)	 np.float64(0.9984732986204096)]]					
Ground truth pose 	[[0.5831359509459955	 -0.05181449712944983	 -0.13540562143988272]	 [0.01336800994242593	 -0.04097668081481376	 -0.03763803342789983	 0.9983614507678371]]					
Ground truth corners 	[[np.float64(0.391971341334156)	 np.float64(-0.33789509494591896)	 np.float64(-0.15807682751553484)]	 [np.float64(0.7298662585811313)	 np.float64(-0.3638195090128121)	 np.float64(-0.13060048034295646)]	 [np.float64(0.7743005605578349)	 np.float64(0.23426610068701928)	 np.float64(-0.1127344153642306)]	 [np.float64(0.4364056433108597)	 np.float64(0.2601905147539124)	 np.float64(-0.14021076253680897)]]
Translational error 	0.0285489071636558											
Rotational error 	0.0829850204477698											
Chamfer distance 	0.0385936023168354											
Hausdorff distance 	0.0548617822429342											
