Category	Data
Time 	283
Number of contact points 	8
Number of motion primitives performed 	47
Estimated corners 	[[np.float64(0.7998174470498035), np.float64(0.17822249432302595), np.float64(0.16877121223615849)], [np.float64(0.48211767534406164), np.float64(0.20309784387514007), np.float64(0.11476723655506602)], [np.float64(0.7841457341744749), np.float64(-0.6508402546940351), np.float64(0.1743230055850206)], [np.float64(0.4281864948293602), np.float64(-0.801636850608846), np.float64(0.11558344114949178)]]
Estimated pose 	[[np.float64(0.623566837849425), np.float64(-0.26778919177617877), np.float64(0.1433612238814342)], [np.float64(-0.0016334046384511), np.float64(-0.08383692022698064), np.float64(-0.03878385495093345), np.float64(0.9957231118093456)]]
Ground truth pose 	[[0.6486942153361013, -0.274132847825852, 0.13381048080483474], [9.201067967183031e-05, -0.02851740940471903, 0.0083544339701211, 0.9995583786492503]]
Ground truth corners 	[[np.float64(0.5021542585023274), np.float64(-0.7666523562695045), np.float64(0.12511710093400083)], [np.float64(0.8116067741945345), np.float64(-0.761476521517664), np.float64(0.14279056314110436)], [np.float64(0.7952341721698751), np.float64(0.21838666061780043), np.float64(0.14250386067566864)], [np.float64(0.485781656477668), np.float64(0.21321082586595996), np.float64(0.12483039846856511)]]
Translational error 	0.0276196264411685
Rotational error 	0.14563372325182
Chamfer distance 	0.0658976628257695
Hausdorff distance 	0.118274203367139
