Category	Data
Time 	241
Number of contact points 	8
Number of motion primitives performed 	48
Estimated corners 	[[np.float64(0.590503828979622), np.float64(0.45713059460173217), np.float64(-0.0795970160219335)], [np.float64(0.26432575999330066), np.float64(0.22737092556951502), np.float64(-0.12192642307323726)], [np.float64(0.8789420256779468), np.float64(-0.09227141605539751), np.float64(-0.10056072243173239)], [np.float64(0.5794236596958193), np.float64(-0.23499550228610544), np.float64(-0.1341341052486799)]]
Estimated pose 	[[np.float64(0.5782988185866722), np.float64(0.08930865045743606), np.float64(-0.10905456669389577)], [np.float64(0.025504192200434376), np.float64(-0.047329831727296656), np.float64(0.302112450635984), np.float64(0.9517549529052046)]]
Ground truth pose 	[[0.589385441575788, 0.08645903237427867, -0.11958006121786935], [0.004546399611294262, -0.05754030622222572, 0.3113829022063122, 0.9485299845677]]
Ground truth corners 	[[np.float64(0.6308478814989676), np.float64(-0.25568508089171976), np.float64(-0.13045534664126773)], [np.float64(0.9026641464328979), np.float64(-0.05502087651670136), np.float64(-0.09237917036385854)], [np.float64(0.5479230016526083), np.float64(0.4286031456402771), np.float64(-0.10870477579447095)], [np.float64(0.2761067367186781), np.float64(0.2279389412652587), np.float64(-0.14678095207188016)]]
Translational error 	0.0155505487844271
Rotational error 	0.0505908557053076
Chamfer distance 	0.0467299479177488
Hausdorff distance 	0.058942377616424
