Category	Data
Time 	213
Number of contact points 	5
Number of motion primitives performed 	30
Estimated corners 	[[np.float64(0.7492586770397627), np.float64(0.357151326343819), np.float64(-0.09727947213495838)], [np.float64(0.36982554635522313), np.float64(0.33608093187320337), np.float64(-0.10180860072139208)], [np.float64(0.7861564749980541), np.float64(-0.3057336239276879), np.float64(-0.10456555447847388)], [np.float64(0.40505615221397906), np.float64(-0.2968521889356653), np.float64(-0.10876546832603876)]]
Estimated pose 	[[np.float64(0.5775742126517547), np.float64(0.0226616113384173), np.float64(-0.10310477391521577)], [np.float64(0.005650432435738201), np.float64(-0.005804220720738051), np.float64(0.02776535435850821), np.float64(0.9995816468565542)]]
Ground truth pose 	[[0.5929762959712566, 0.041676185883195244, -0.11315565258027005], [0.023333869131377572, -0.04278301942781715, 0.029381379304315343, 0.9983796263697362]]
Ground truth corners 	[[np.float64(0.4420913760407257), np.float64(-0.2671132353970628), np.float64(-0.1411348277461074)], [np.float64(0.7802596925439199), np.float64(-0.24784511095838954), np.float64(-0.1116233199226957)], [np.float64(0.7438612159017874), np.float64(0.3504656071634533), np.float64(-0.08517647741443271)], [np.float64(0.4056928993985932), np.float64(0.33119748272478), np.float64(-0.1146879852378444)]]
Translational error 	0.0264537025317712
Rotational error 	0.0820835746138775
Chamfer distance 	0.042339342658764
Hausdorff distance 	0.0586145377033178
