Category	Data											
Time 	250											
Number of contact points 	8											
Number of motion primitives performed 	47											
Estimated corners 	[[np.float64(0.7834883595905131)	 np.float64(0.26174106382924545)	 np.float64(-0.07979939600268404)]	 [np.float64(0.45863956172263676)	 np.float64(0.2544629733899023)	 np.float64(-0.10561374043518995)]	 [np.float64(0.7306262089465491)	 np.float64(-0.35536822878601304)	 np.float64(-0.12041146835224212)]	 [np.float64(0.3237500540260445)	 np.float64(-0.3114096213646787)	 np.float64(-0.1496065968296415)]]
Estimated pose 	[[np.float64(0.5741260460714359)	 np.float64(-0.037643453232886016)	 np.float64(-0.11385780040493941)]	 [np.float64(0.0294972544290348)	 np.float64(-0.03889692256346955)	 np.float64(-0.0011487227333872479)	 np.float64(0.9988070994102525)]]					
Ground truth pose 	[[0.5938113342018367	 -0.062232811821920614	 -0.11482359611933568]	 [0.0067553738772473315	 -0.05356201540063277	 -0.027795602257797893	 0.9981547374656535]]					
Ground truth corners 	[[np.float64(0.40861995072056906)	 np.float64(-0.3521857846785096)	 np.float64(-0.13787625357829736)]	 [np.float64(0.7461437409214862)	 np.float64(-0.3712979622680175)	 np.float64(-0.10164897495852782)]	 [np.float64(0.7790027176831045)	 np.float64(0.22772016103466838)	 np.float64(-0.09177093866037402)]	 [np.float64(0.44147892748218726)	 np.float64(0.24683233862417622)	 np.float64(-0.12799821728014354)]]
Translational error 	0.0315131700398258											
Rotational error 	0.075971398170962											
Chamfer distance 	0.0473860955870078											
Hausdorff distance 	0.0948851717199786											
