Category	Data
Time 	145
Number of contact points 	3
Number of motion primitives performed 	18
Estimated corners 	[[np.float64(0.7547385342399842), np.float64(0.17707036580796698), np.float64(-0.094229853290671)], [np.float64(0.1601739311161436), np.float64(0.09759681526743377), np.float64(-0.10752975842835164)], [np.float64(0.20553022309707686), np.float64(-0.23895788274960295), np.float64(-0.12407490939174688)], [np.float64(0.8000948262209173), np.float64(-0.15948433220906966), np.float64(-0.11077500425406626)]]
Estimated pose 	[[np.float64(0.4801343786685305), np.float64(-0.030943758470817963), np.float64(-0.10915238134120894)], [np.float64(0.02502474835925698), np.float64(-0.009440066952220993), np.float64(0.06663619536511024), np.float64(0.9974188009922194)]]
Ground truth pose 	[[0.5094684302631065, -0.0019480202875915287, -0.1144968087002056], [-0.006636997542239054, -0.06108669822586599, 0.07700223341010737, 0.9951356800021502]]
Ground truth corners 	[[np.float64(0.24118054825096552), np.float64(-0.21613692773751866), np.float64(-0.14681900371920242)], [np.float64(0.8295874338706264), np.float64(-0.12369720513083059), np.float64(-0.07448481650617025)], [np.float64(0.7777563122752476), np.float64(0.2122408871623356), np.float64(-0.08217461368120876)], [np.float64(0.18934942665558668), np.float64(0.11980116455564753), np.float64(-0.15450880089424093)]]
Translational error 	0.0415908922666857
Rotational error 	0.123023590322009
Chamfer distance 	0.0525645649394806
Hausdorff distance 	0.0595925590849805
