Category	Data
Time 	288
Number of contact points 	8
Number of motion primitives performed 	47
Estimated corners 	[[np.float64(0.7663434190868417), np.float64(0.19056510562616846), np.float64(0.12269878602804712)], [np.float64(0.4739285847489748), np.float64(0.19420563909864774), np.float64(0.08418032921161706)], [np.float64(0.8023870141322802), np.float64(-0.732666935493428), np.float64(0.17716934467389037)], [np.float64(0.4261231405037863), np.float64(-0.765344365957737), np.float64(0.12961902572236755)]]
Estimated pose 	[[np.float64(0.6171955396179707), np.float64(-0.2783101391815872), np.float64(0.12841687140898053)], [np.float64(-0.026225359764465623), np.float64(-0.06524998468593579), np.float64(-0.00790217834496883), np.float64(0.9974929701913261)]]
Ground truth pose 	[[0.6523286575694145, -0.2833696574165067, 0.13870195737599003], [-0.0032618664358418856, -0.03335389920032361, 0.005107571004062025, 0.9994252299966856]]
Ground truth corners 	[[np.float64(0.5025775368041069), np.float64(-0.7749498286032113), np.float64(0.13173509828565771)], [np.float64(0.8118716234825822), np.float64(-0.7717175012035569), np.float64(0.15239230054804628)], [np.float64(0.8020797783347221), np.float64(0.20821051377019778), np.float64(0.14566881646632235)], [np.float64(0.49278569165624675), np.float64(0.20497818637054344), np.float64(0.12501161420393378)]]
Translational error 	0.0369556179099785
Rotational error 	0.0828954865664766
Chamfer distance 	0.0541357473548535
Hausdorff distance 	0.0770844821567427
