Category	Data
Time 	192
Number of contact points 	5
Number of motion primitives performed 	29
Estimated corners 	[[np.float64(0.7579478678833289), np.float64(0.355907352306345), np.float64(-0.09459641017340126)], [np.float64(0.3970373615682371), np.float64(0.34461946581004654), np.float64(-0.10312921373104042)], [np.float64(0.7789087281017864), np.float64(-0.2987040908430731), np.float64(-0.11520101024498883)], [np.float64(0.4170385793914302), np.float64(-0.28002217234452215), np.float64(-0.12279048191834042)]]
Estimated pose 	[[np.float64(0.5877331342361957), np.float64(0.030450138732199053), np.float64(-0.10892927901694273)], [np.float64(0.0159101550638773), np.float64(-0.011564206066598248), np.float64(0.015815089367038807), np.float64(0.9996814587918519)]]
Ground truth pose 	[[0.5997013660997298, 0.02030857551463791, -0.1323635338798705], [-0.007041537662805042, -0.03655979067807291, 0.023379301575684845, 0.9990331359423231]]
Ground truth corners 	[[np.float64(0.4442012134079471), np.float64(-0.2873625250866505), np.float64(-0.13999218825820753)], [np.float64(0.782920630583065), np.float64(-0.27130491389028544), np.float64(-0.11526751331161185)], [np.float64(0.7552015187915124), np.float64(0.3279796761159264), np.float64(-0.12473487950153346)], [np.float64(0.41648210161639454), np.float64(0.3119220649195612), np.float64(-0.14945955444812914)]]
Translational error 	0.0282002514069601
Rotational error 	0.069550526786135
Chamfer distance 	0.0404495113268262
Hausdorff distance 	0.0599476305744861
