Category	Data
Time 	142
Number of contact points 	3
Number of motion primitives performed 	18
Estimated corners 	[[np.float64(0.7643196115143985), np.float64(0.20674170181381568), np.float64(-0.1200838940718751)], [np.float64(0.1671758413756958), np.float64(0.15343449005406684), np.float64(-0.0960493572771398)], [np.float64(0.1970746804899683), np.float64(-0.18515100391339628), np.float64(-0.10416863645868424)], [np.float64(0.7942184506286711), np.float64(-0.13184379215364733), np.float64(-0.12820317325341954)]]
Estimated pose 	[[np.float64(0.48069714600218344), np.float64(0.010795348950209734), np.float64(-0.11212626526527966)], [np.float64(0.011044880403935163), np.float64(0.020543247163410938), np.float64(0.044251175657422974), np.float64(0.9987481259385581)]]
Ground truth pose 	[[0.509436644778286, 0.015500678515008331, -0.1293240776948797], [0.007340353049262281, -0.04726666805333457, 0.0523253039225423, 0.9974838564496478]]
Ground truth corners 	[[np.float64(0.23028369397431692), np.float64(-0.1846581184417606), np.float64(-0.15949171032085424)], [np.float64(0.8243172035669762), np.float64(-0.12244208814306026), np.float64(-0.10245352087817389)], [np.float64(0.788589595582255), np.float64(0.21565947547177727), np.float64(-0.09915644506890516)], [np.float64(0.19455608598959573), np.float64(0.15344344517307693), np.float64(-0.1561946345115855)]]
Translational error 	0.033821053629044
Rotational error 	0.136828701267774
Chamfer distance 	0.0511465960079655
Hausdorff distance 	0.0660842814057888
