Category	Data
Time 	244
Number of contact points 	8
Number of motion primitives performed 	47
Estimated corners 	[[np.float64(0.6791753025596184), np.float64(0.33848377377982686), np.float64(0.021544774817089378)], [np.float64(0.4072614190670961), np.float64(0.3314412833814157), np.float64(-0.22762498983992205)], [np.float64(0.6882818968210541), np.float64(-0.24630137054189805), np.float64(0.026813274920108203)], [np.float64(0.4052904736388204), np.float64(-0.2528838610468377), np.float64(-0.23250352576847264)]]
Estimated pose 	[[np.float64(0.5450022730216473), np.float64(0.042684956393126694), np.float64(-0.10294261646779929)], [np.float64(-0.001652919653472882), np.float64(-0.3624097357476065), np.float64(0.00959984117797231), np.float64(0.9319679685167978)]]
Ground truth pose 	[[0.5704054487774515, 0.06108248693991983, -0.09337410635481713], [0.014095329415340597, -0.3656661407492453, 0.0204687523550372, 0.9304142224704298]]
Ground truth corners 	[[np.float64(0.46052904733436306), np.float64(-0.24326960360263553), np.float64(-0.2125251927463959)], [np.float64(0.7093201738412382), np.float64(-0.23382424475636623), np.float64(0.019021261702177356)], [np.float64(0.6802818502205399), np.float64(0.3654345774824752), np.float64(0.025776980036761626)], [np.float64(0.4314907237136647), np.float64(0.3559892186362059), np.float64(-0.20576947441181162)]]
Translational error 	0.0327924816761816
Rotational error 	0.0389446201648744
Chamfer distance 	0.0383323607250621
Hausdorff distance 	0.0595219939220982
