Category	 Data	
Time 221
Number of contact points  8 
Number of motion primitives performed  46 
"Estimated corners, ""[[np.float64(0.5365016097270945),"";np.float64(0.5188200169233786),;np.float64(-0.07696611377407964)],;[np.float64(0.2878992609786366),;np.float64(0.17404123060908594),;np.float64(-0.12692187563222293)],;[np.float64(0.9003003919061485),;np.float64(-0.062403322567342545),;np.float64(-0.0903975831883601)],;[np.float64(0.6027264629207086),;np.float64(-0.2185312726558045),;""np.float64(-0.1297455139780182)]]		"
"Estimated pose, ""[[np.float64(0.5818569313831471),"";np.float64(0.1029816630773294),;np.float64(-0.10600777164317021)],;[np.float64(0.014842954713879211),;np.float64(-0.058071009678444474),;np.float64(0.4540861598395034),;""np.float64(0.8889393702455196)]]""""""		"
"Ground truth pose, ""[[0.5821660310626001,"";0.09226220233989654,;-0.10777823512045043],;[0.0018703711527347725,;-0.04184654163753976,;0.3357104907151311,;""0.9410333868086374]]""""""		"
"Ground truth corners, ""[[np.float64(0.6406757668919957),"";np.float64(-0.24749919245161736),;np.float64(-0.11400763497110523)],;[np.float64(0.9028479535882086),;np.float64(-0.032730364631257766),;np.float64(-0.08680294567688868)],;[np.float64(0.5236562952332046),;np.float64(0.4320235971314105),;np.float64(-0.10154883526979562)],;[np.float64(0.2614841085369917),;np.float64(0.21725476931105087),;""np.float64(-0.12875352456401218)]]""""""		"
Translational error	0.0108690810116396	
Rotational error 	0.262165570258378	
Chamfer distance	0.0555170722036231	
Hausdorff distance	0.0911204191676401	
